kernel,version,fuzzer,crashes
Linux,v5.4.296,syzkaller,27
Linux,v5.4.296,syzkaller,24
Linux,v5.4.296,syzkaller,27
Linux,v5.4.296,syzkaller,20
Linux,v5.4.296,syzkaller,27
Linux,v5.4.296,SyzMeta,23
Linux,v5.4.296,SyzMeta,25
Linux,v5.4.296,SyzMeta,25
Linux,v5.4.296,SyzMeta,26
Linux,v5.4.296,SyzMeta,21
Linux,v5.4.296,ACTOR,8
Linux,v5.4.296,HEALER,2
Linux,v5.4.296,HEALER,1
Linux,v5.4.296,HEALER,2
Linux,v5.4.296,HEALER,2
Linux,v5.4.296,HEALER,1
Linux,v5.4.296,MOCK,1
Linux,v5.4.296,MOCK,3
Linux,v5.4.296,MOCK,1
Linux,v5.4.296,MOCK,3
Linux,v5.4.296,MOCK,1
Linux,v5.4.296,MoonShine,26
Linux,v5.4.296,MoonShine,27
Linux,v5.4.296,MoonShine,22
Linux,v5.4.296,MoonShine,18
Linux,v5.4.296,MoonShine,27
Linux,v5.10.240,syzkaller,5
Linux,v5.10.240,syzkaller,5
Linux,v5.10.240,syzkaller,5
Linux,v5.10.240,syzkaller,3
Linux,v5.10.240,syzkaller,2
Linux,v5.10.240,SyzMeta,4
Linux,v5.10.240,SyzMeta,4
Linux,v5.10.240,SyzMeta,6
Linux,v5.10.240,SyzMeta,4
Linux,v5.10.240,SyzMeta,5
Linux,v5.10.240,ACTOR,0
Linux,v5.10.240,HEALER,2
Linux,v5.10.240,HEALER,1
Linux,v5.10.240,HEALER,2
Linux,v5.10.240,HEALER,2
Linux,v5.10.240,HEALER,1
Linux,v5.10.240,MOCK,2
Linux,v5.10.240,MOCK,2
Linux,v5.10.240,MOCK,1
Linux,v5.10.240,MOCK,3
Linux,v5.10.240,MOCK,2
Linux,v5.10.240,MoonShine,15
Linux,v5.10.240,MoonShine,15
Linux,v5.10.240,MoonShine,12
Linux,v5.10.240,MoonShine,14
Linux,v5.10.240,MoonShine,13
Linux,v5.15.189,syzkaller,27
Linux,v5.15.189,syzkaller,27
Linux,v5.15.189,syzkaller,24
Linux,v5.15.189,syzkaller,30
Linux,v5.15.189,syzkaller,20
Linux,v5.15.189,SyzMeta,25
Linux,v5.15.189,SyzMeta,28
Linux,v5.15.189,SyzMeta,34
Linux,v5.15.189,SyzMeta,29
Linux,v5.15.189,SyzMeta,23
Linux,v5.15.189,HEALER,1
Linux,v5.15.189,HEALER,1
Linux,v5.15.189,HEALER,2
Linux,v5.15.189,HEALER,2
Linux,v5.15.189,HEALER,2
Linux,v5.15.189,MOCK,1
Linux,v5.15.189,MOCK,1
Linux,v5.15.189,MOCK,1
Linux,v5.15.189,MOCK,1
Linux,v5.15.189,MOCK,2
Linux,v5.15.189,ACTOR,0
Linux,v5.15.189,MoonShine,22
Linux,v5.15.189,MoonShine,21
Linux,v5.15.189,MoonShine,23
Linux,v5.15.189,MoonShine,23
Linux,v5.15.189,MoonShine,26
Linux,v6.1.147,syzkaller,15
Linux,v6.1.147,syzkaller,14
Linux,v6.1.147,syzkaller,10
Linux,v6.1.147,syzkaller,13
Linux,v6.1.147,syzkaller,17
Linux,v6.1.147,SyzMeta,14
Linux,v6.1.147,SyzMeta,17
Linux,v6.1.147,SyzMeta,20
Linux,v6.1.147,SyzMeta,16
Linux,v6.1.147,SyzMeta,14
Linux,v6.1.147,HEALER,1
Linux,v6.1.147,HEALER,1
Linux,v6.1.147,HEALER,2
Linux,v6.1.147,HEALER,1
Linux,v6.1.147,HEALER,1
Linux,v6.1.147,MOCK,1
Linux,v6.1.147,MOCK,1
Linux,v6.1.147,MOCK,1
Linux,v6.1.147,MOCK,1
Linux,v6.1.147,MOCK,3
Linux,v6.1.147,ACTOR,0
Linux,v6.1.147,MoonShine,10
Linux,v6.1.147,MoonShine,17
Linux,v6.1.147,MoonShine,11
Linux,v6.1.147,MoonShine,14
Linux,v6.1.147,MoonShine,16
Linux,v6.6.100,syzkaller,15
Linux,v6.6.100,syzkaller,13
Linux,v6.6.100,syzkaller,15
Linux,v6.6.100,syzkaller,15
Linux,v6.6.100,syzkaller,18
Linux,v6.6.100,SyzMeta,17
Linux,v6.6.100,SyzMeta,21
Linux,v6.6.100,SyzMeta,24
Linux,v6.6.100,SyzMeta,21
Linux,v6.6.100,SyzMeta,13
Linux,v6.6.100,HEALER,0
Linux,v6.6.100,HEALER,0
Linux,v6.6.100,HEALER,0
Linux,v6.6.100,HEALER,0
Linux,v6.6.100,HEALER,0
Linux,v6.6.100,MOCK,0
Linux,v6.6.100,MOCK,0
Linux,v6.6.100,MOCK,0
Linux,v6.6.100,MOCK,0
Linux,v6.6.100,MOCK,0
Linux,v6.6.100,ACTOR,0
Linux,v6.6.100,MoonShine,16
Linux,v6.6.100,MoonShine,15
Linux,v6.6.100,MoonShine,14
Linux,v6.6.100,MoonShine,14
Linux,v6.6.100,MoonShine,18
Linux,v6.12.40,syzkaller,29
Linux,v6.12.40,syzkaller,33
Linux,v6.12.40,syzkaller,25
Linux,v6.12.40,syzkaller,26
Linux,v6.12.40,syzkaller,33
Linux,v6.12.40,SyzMeta,46
Linux,v6.12.40,SyzMeta,33
Linux,v6.12.40,SyzMeta,45
Linux,v6.12.40,SyzMeta,17
Linux,v6.12.40,SyzMeta,28
Linux,v6.12.40,HEALER,0
Linux,v6.12.40,HEALER,0
Linux,v6.12.40,HEALER,0
Linux,v6.12.40,HEALER,0
Linux,v6.12.40,HEALER,0
Linux,v6.12.40,MOCK,0
Linux,v6.12.40,MOCK,0
Linux,v6.12.40,MOCK,0
Linux,v6.12.40,MOCK,0
Linux,v6.12.40,MOCK,0
Linux,v6.12.40,ACTOR,0
Linux,v6.12.40,MoonShine,36
